,0,1
0,아시아나 올림카드,"['2마일 적립1,500원당', '3마일 적립1,500원당']"
1,Easy pick카드,"['인터넷쇼핑몰/배달앱', '대형마트', '주유소/충전소', '선호 영역(택1)', '교통/통신', '인터넷쇼핑몰 앱카드 결제']"
